課程類別,必選修,領域類別,年級,學期,課程,學分,時數
專業課程,必修,應修學分數10學分,一年級,第一學期,專題研討(一),1,2
專業課程,必修,應修學分數10學分,一年級,第二學期,專題研討(二),1,2
專業課程,必修,應修學分數10學分,二年級,第一學期,專題研討(三),1,2
專業課程,必修,應修學分數10學分,二年級,第二學期,專題研討(四),1,2
專業課程,必修,應修學分數10學分,二年級,第二學期,論文,6,6
專業課程,選修,應修學分數18學分,一年級,第一學期,重構電力系統運轉,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,教學實習微學分,1,1
專業課程,選修,應修學分數18學分,一年級,第一學期,適應控制系統,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,無線網路服務品質,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,網路資料庫設計,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,科技管理實務應用,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,最佳化方法,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,電力資訊整合設計,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,基因演算法與應用,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,智慧電網專論,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,電力電子學專論,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,光學設計,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,線性系統分析與設計,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,光電技術與實務,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,英文科技論文寫作,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,資料探勘,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,電力監控專論,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,機器人控制,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,資料倉儲應用,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,物聯網專論,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,雲端與叢集運算,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,人工智慧應用,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,光電系統設計專論,3,3
專業課程,選修,應修學分數18學分,一年級,第二學期,數位控制系統設計,3,3
專業課程,選修,應修學分數18學分,一年級,第一學期,配電自動化,3,3
